CID,CRPName,Party
N00012233,"Latta, Bob",R
N00012445,"Driscoll, John",R
N00012460,"Clay, William L Jr",D
N00012707,"Grundmann, Don",3
N00012726,"Goldberg, Al",D
N00012760,"Smith, Charles",D
N00012942,"McCollum, Betty",D
N00012956,"Wiley, Albert Jr",R
N00013089,"Campbell, Mike",R
N00013164,"Reyes, Art",R
N00013262,"Griggs, Joyce",D
N00013323,"Graves, Sam",R
N00013418,"Mavis, Neil",R
N00013682,"Rosa, David",R
N00013817,"Pingree, Chellie",D
N00013820,"Van Hollen, Chris",D
N00013855,"Lynch, Stephen F",D
N00013873,"Boozman, John",R
N00019149,"Kean, Tom",R
N00021273,"O'connor, Kim",I
N00022171,"Robb, Richie",D
N00023802,"Torregano, Richard",I
N00023861,"Trugman, Rob",R
N00023864,"Trump, Donald",R
N00024108,"Walkowicz, Gary",3
N00024194,"Waters, James",R
N00024759,"Rogers, Mike D",R
N00024790,"Shaheen, Jeanne",D
N00024809,"Wilson, Joe",R
N00024817,"Jones, Doug",D
N00024842,"Courtney, Joe",D
N00024852,"Cornyn, John",R
N00024870,"Sanchez, Linda",D
N00024871,"Scott, David",D
N00024894,"Oberweis, Jim",R
N00024978,"Cuellar, Henry",D
N00025023,"Craig, Kevin",L
N00025044,"McCann, John",R
N00025095,"Carter, John",R
N00025105,"Claytor, Chris",L
N00025175,"Turner, Michael R",R
N00025219,"Burgess, Michael",R
N00025237,"King, Steven A",R
N00025280,"Ryan, Tim",D
N00025284,"Grijalva, Raul M",D
N00025314,"Schneider, Jan",D
N00025326,"Boyd, Graham",R
N00025337,"Diaz-Balart, Mario",R
N00025369,"Pringle, Chris",R
N00025431,"Condit, Jim Jr",I
N00025445,"Kustoff, David",R
N00025482,"Ruppersberger, Dutch",D
N00025490,"Davis, Gary",D
N00025553,"Chase, Rob",R
N00025713,"Hansen, Janine",3
N00025726,"Cole, Tom",R
N00025746,"Oram, Bert",I
N00025766,"Carter, Troy",D
N00025812,"Greenfield, Steven",3
N00025870,"Olsen, Norm",L
N00025882,"Case, Ed",D
N00025989,"Dern, Doug",3
N00026050,"Murkowski, Lisa",R
N00026097,"Berryhill, James",R
N00026106,"Schultz, Debbie Wasserman",D
N00026122,"Bartell, Al",I
N00026148,"Gohmert, Louis B Jr",R
N00026166,"Foxx, Virginia",R
N00026289,"Kobach, Kris",R
N00026314,"Rodgers, Cathy McMorris",R
N00026335,"Webster, Daniel",R
N00026341,"Costa, Jim",D
N00026350,"Lohmiller, Bruce",3
N00026368,"Walberg, Tim",R
N00026411,"Blass, Piotr",I
N00026427,"Khanna, Ro",D
N00026434,"Boyda, Nancy",D
N00026460,"McCaul, Michael",R
N00026526,"Bodell, William",R
N00026555,"DiSanto, Delina",D
N00026605,"McDermott, George",R
N00026627,"McHenry, Patrick",R
N00026631,"Fortenberry, Jeff",R
N00026683,"Ridley, H J Jr",3
N00026686,"Green, Al",D
N00026705,"Smith, Rhett",L
N00026751,"Buckley, Allen",I
N00026756,"Bly, Ray",R
N00026790,"Cleaver, Emanuel",D
N00026823,"Kennedy, John",R
N00026836,"Wakley, Victor",R
N00026914,"Moore, Gwen",D
N00026926,"McNerney, Jerry",D
N00026961,"Clarke, Yvette D",D
N00027028,"Chastain, Clay",R
N00027035,"Butterfield, G K",D
N00027060,"Higgins, Brian M",D
N00027119,"Bilyeu, Sheila",D
N00027239,"Lipinski, Daniel",D
N00027260,"Sloan, Sam",D
N00027326,"Mendoza, Vinny",I
N00027434,"Ericson, Cris",I
N00027459,"Matsui, Doris",D
N00027462,"Bilirakis, Gus",R
N00027509,"Tipton, Scott",R
N00027510,"Perlmutter, Ed",D
N00027514,"Castor, Kathy",D
N00027523,"Sires, Albio",D
N00027623,"Smith, Adrian",R
N00027626,"Buchanan, Vernon",R
N00027709,"Taylor, Van",R
N00027751,"Sarbanes, John",D
N00027783,"Norman, Ralph",R
N00027810,"Welsh, Barry",D
N00027848,"Johnson, Hank",D
N00027860,"Duckworth, Tammy",D
N00027894,"Jordan, Jim",R
N00028025,"Hunter, Darrel Reece",D
N00028049,"Sestak, Joe",D
N00028068,"Reeves, Jayson",D
N00028073,"Yarmuth, John",D
N00028122,"Cox, TJ",D
N00028133,"Lamborn, Douglas L",R
N00028138,"Schatz, Brian",D
N00028141,"Hamilton, Eddie",R
N00028152,"McCarthy, Kevin",R
N00028200,"Genovese, Sal",D
N00028224,"Curtis, Clint",D
N00028236,"Schrader, Tommy",D
N00028240,"Pullins, Pierre",D
N00028361,"Ellmore, Mark",R
N00028418,"Grayson, Alan",D
N00028463,"Roe, Phil",R
N00028579,"Callis, Michael",R
N00028703,"Peterson, Karen Carter",D
N00028830,"Trudell, Jerry",I
N00028986,"Broun, Paul",R
N00029070,"Himes, Jim",D
N00029126,"Jones, Brian W",R
N00029139,"Foster, Bill",D
N00029147,"Harris, Andy",R
N00029258,"Hunter, Duncan D",R
N00029260,"Kirkpatrick, Ann",D
N00029277,"Peters, Gary",D
N00029303,"Merkley, Jeff",D
N00029349,"Bloomberg, Michael",D
N00029404,"Zeldin, Lee",R
N00029416,"Meuser, Dan",R
N00029441,"Risch, James E",R
N00029459,"Wittman, Rob",R
N00029495,"Miller-Meeks, Mariannette",R
N00029513,"Carson, Andre",D
N00029521,"Harris, Thomas E",R
N00029560,"Montoya, Harry",R
N00029562,"Lujan, Ben Ray",D
N00029568,"Hood, Ron",R
N00029574,"Stivers, Steve",R
N00029649,"Speier, Jackie",D
N00029657,"Reale, Daniel",L
N00029662,"Posey, Bill",R
N00029675,"Guthrie, Brett",R
N00029732,"Pitrone, Mark",R
N00029736,"Thompson, Glenn",R
N00029779,"Leone, Ross",L
N00029788,"Lummis, Cynthia",R
N00029891,"Connolly, Gerry",D
N00029980,"Linn, Max",I
N00030026,"Luetkemeyer, Blaine",R
N00030071,"Schrader, Kurt",D
N00030100,"Ennis, Craig",R
N00030125,"Richardson, Marvin",3
N00030133,"Marvin, Larry",D
N00030145,"Redpath, Bill",L
N00030184,"Richmond, Cedric",D
N00030191,"Titus, Dina",D
N00030196,"Tonko, Paul",D
N00030211,"Theron, Peter",R
N00030240,"Hanson, Tom",R
N00030243,"Garrard, Robert",L
N00030245,"Cassidy, Bill",R
N00030251,"Robinson, Herb",D
N00030295,"Arnold, Keith",I
N00030418,"Sablan, Gregorio",I
N00030458,"Shabazz, Clyde",3
N00030490,"Fudge, Marcia",D
N00030562,"Larose, Josue",R
N00030562,"Larose, Josue",D
N00030581,"Quigley, Mike",D
N00030600,"Chu, Judy",D
N00030602,"Williams, Roger",R
N00030608,"Bennet, Michael",D
N00030612,"Rubio, Marco",R
N00030614,"Noren, Scott",D
N00030622,"Sewell, Terri",D
N00030642,"Lawson, Al",D
N00030650,"Wilson, Frederica",D
N00030667,"Kinzinger, Adam",R
N00030668,"Schilling, Bobby",R
N00030670,"Young, Todd",R
N00030673,"Huizenga, Bill",R
N00030676,"Long, Billy",R
N00030693,"DelBene, Suzan",D
N00030709,"Desaulnier, Mark",D
N00030717,"Bera, Ami",D
N00030737,"Bacon, Stephen",R
N00030743,"Mann, Tracey",R
N00030752,"Duncan, Jeff",R
N00030770,"Crawford, Rick",R
N00030771,"Gosar, Paul",R
N00030776,"Reed, Mark",R
N00030780,"Gardner, Cory",R
N00030788,"Graves, Tom",R
N00030815,"Fleischmann, Chuck",R
N00030822,"Durrance, Neil",D
N00030829,"Buck, Ken",R
N00030836,"Paul, Rand",R
N00030856,"Garamendi, John",D
N00030875,"Kuster, Ann",D
N00030903,"Peterson, David",D
N00030910,"Brooks, Mo",R
N00030949,"Reed, Tom",R
N00030957,"Desjarlais, Scott",R
N00030963,"Loyola, Ben",R
N00031005,"Hartzler, Vicky",R
N00031063,"Brodhead, Stephan",R
N00031128,"Gibbs, Bob",R
N00031129,"Lankford, James",R
N00031163,"Romanoff, Andrew",D
N00031173,"Khazei, Alan",D
N00031177,"Amodei, Mark",R
N00031180,"Dennis, John",R
N00031226,"Walorski, Jackie",R
N00031227,"Bucshon, Larry",R
N00031233,"Barr, Andy",R
N00031245,"Bridges, Ed",3
N00031263,"Taylor, Scott",R
N00031317,"Deutch, Ted",D
N00031390,"Hagedorn, Jim",R
N00031401,"Grimm, Michael",R
N00031446,"Cunningham, Cal",D
N00031514,"Patterson, Vance",R
N00031557,"Heck, Dennis",D
N00031559,"Beutler, Jaime Herrera",R
N00031647,"Kelly, Mike",R
N00031656,"Flinn, George S Jr",R
N00031681,"McKinley, David",R
N00031685,"Blumenthal, Richard",D
N00031688,"Hoeven, John",R
N00031696,"Lee, Mike",R
N00031717,"Elliott, Joyce",D
N00031734,"Sansaricq, Bernard",R
N00031782,"Scott, Tim",R
N00031805,"Boler, Mark",L
N00031820,"Coons, Chris",D
N00031857,"Womack, Steve",R
N00031877,"Bass, Karen",D
N00031913,"Powell, Mark",D
N00031933,"Keating, Bill",D
N00031938,"Amash, Justin",L
N00031958,"Palazzo, Steven",R
N00031977,"Gregory, Jeff",3
N00032019,"Cicilline, David",D
N00032029,"Griffith, Morgan",R
N00032088,"Johnson, Bill",R
N00032090,"Anderson, John",R
N00032210,"Griffin, Morris",D
N00032211,"Sanchez, David",D
N00032243,"Hice, Jody",R
N00032250,"Giuffre, John",3
N00032307,"Ryan, Chris",R
N00032386,"Guild, Tom",D
N00032405,"Bergmann, Charlotte",R
N00032425,"Steinman, Leonard",L
N00032457,"Scott, Austin",R
N00032463,"Tillman, Robert",D
N00032484,"Egriu, Emin Eddie",D
N00032546,"Johnson, Ron",R
N00032568,"Koniz, Gary",I
N00032688,"Carlson, Steve",D
N00032697,"Rondeau, Kevin",R
N00032724,"Sutherland, Scott",R
N00032743,"Beloin, Gerald",R
N00032810,"Robbio, Donald",R
N00032983,"Hill, Sid",I
N00033030,"Huffman, Jared",D
N00033054,"Daines, Steven",R
N00033101,"Schneider, Brad",D
N00033103,"Straw, Andrew",3
N00033106,"Wagner, Ann L",R
N00033165,"Agbede, Akinyemi",D
N00033174,"Mandel, Josh",R
N00033200,"Barkley, Mike",D
N00033220,"Yoho, Ted",R
N00033240,"Krishnamoorthi, Raja",D
N00033274,"Lowenthal, Alan",D
N00033281,"Gabbard, Tulsi",D
N00033293,"Hodgkins, Josef",D
N00033310,"Wenstrup, Brad",R
N00033316,"Castro, Joaquin",D
N00033343,"Severson, Dan 'Doc'",R
N00033363,"Cotton, Tom",R
N00033367,"Valadao, David",R
N00033373,"Cardenas, Tony",D
N00033390,"Bustos, Cheri",D
N00033395,"Kildee, Dan",D
N00033399,"Holding, George",R
N00033410,"Mullin, Markwayne",R
N00033449,"Demings, Val",D
N00033474,"Bonamici, Suzanne",D
N00033508,"Swalwell, Eric",D
N00033510,"Ruiz, Raul",D
N00033518,"Collins, Doug",R
N00033527,"Rouzer, David",R
N00033537,"Harris, Felicia",R
N00033539,"Weber, Randy",R
N00033540,"O'Rourke, Beto",D
N00033544,"Caraway, Barbara Mallory",D
N00033549,"Pocan, Mark",D
N00033591,"Peters, Scott",D
N00033625,"Bentivolio, Kerry",R
N00033630,"Hudson, Richard",R
N00033631,"Meadows, Mark",R
N00033638,"Horsford, Steven",D
N00033640,"Jeffries, Hakeem",D
N00033720,"Allen, Richard W",R
N00033757,"Schwartz, Dan",R
N00033814,"Mooney, Alex",R
N00033832,"Rice, Tom",R
N00033839,"Veasey, Marc",D
N00033875,"Norris, Phil",R
N00033888,"Miniear, J D",R
N00033897,"Delaney, John K",D
N00033904,"Beatty, Joyce",D
N00033906,"Turner, Nina",D
N00033911,"Bromell-Tinubu, Gloria",D
N00033932,"Stewart, Chris",R
N00033982,"McSally, Martha",R
N00033987,"LaMalfa, Doug",R
N00033997,"Aguilar, Pete",D
N00034000,"Chen, Jay",D
N00034002,"Brooks, John",D
N00034016,"Donalds, Byron",R
N00034041,"Massie, Thomas",R
N00034044,"Kennedy, Joe III",D
N00034050,"Impallaria, Rick",R
N00034068,"Lawrence, Brenda",D
N00034087,"Sare, Diane",D
N00034120,"Perry, Scott",R
N00034126,"Brooks, Janis",D
N00034128,"Cartwright, Matt",D
N00034254,"Brownley, Julia",D
N00034277,"Maloney, Sean Patrick",D
N00034296,"Aalders, Tim",R
N00034297,"Bey, Nikolay",D
N00034331,"Tilford, John",I
N00034349,"Vela, Filemon",D
N00034453,"Kilmer, Derek",D
N00034528,"Anderson, Paul",R
N00034547,"Meng, Grace",D
N00034549,"Espaillat, Adriano",D
N00034574,"Swank, Keith",R
N00034590,"Brown, Steve",L
N00034603,"Cheadle, Gregory",I
N00034639,"Payne, Donald M Jr",D
N00034694,"Hindman, George",R
N00034748,"Dodds, Philip",D
N00034767,"Collins, David B",3
N00034784,"Davis, Rodney",R
N00034879,"Elliott, Paul Sidney",R
N00034907,"Carney, Bob",R
N00034932,"Katz, Ilya",R
N00035000,"Plaskett, Stacey",D
N00035007,"Joyce, David P",R
N00035059,"Lewis, Marcus",D
N00035090,"Forchion, Ed",I
N00035104,"Paterson, Clark",L
N00035139,"Brubaker, Richard",L
N00035154,"Turkavage, Robert",D
N00035187,"Rounds, Mike",R
N00035193,"Chandler, Michael",3
N00035204,"Raths, Greg",R
N00035215,"Kelly, Robin",D
N00035267,"Booker, Cory",D
N00035278,"Clark, Katherine",D
N00035280,"Stapleton, Corey",R
N00035282,"Smith, Jason",R
N00035307,"Boyle, Brendan",D
N00035311,"Walker, Mark",R
N00035346,"Carter, Buddy",R
N00035347,"Loudermilk, Barry",R
N00035352,"Mensing, Dale",R
N00035356,"Hays, Elaine",R
N00035370,"Collins, Mike",R
N00035380,"Byrne, Bradley",R
N00035392,"Demaio, Carl",R
N00035420,"Bost, Mike",R
N00035431,"Moulton, Seth",D
N00035440,"Emmer, Tom",R
N00035451,"Adams, Alma",D
N00035462,"Faparusi, Yomi",I
N00035476,"Grayson, Derrick",R
N00035477,"Handel, Karen",R
N00035479,"Yu, Eugene",R
N00035483,"Ernst, Joni",R
N00035492,"Tillis, Thom",R
N00035498,"Meissner, Stuart",R
N00035504,"Cheney, Liz",R
N00035509,"Young, David",R
N00035510,"Martin, Andy",R
N00035512,"Perkins, Jo Rae",R
N00035516,"Perdue, David",R
N00035517,"Rosendale, Matt",R
N00035523,"Stefanik, Elise",R
N00035527,"Westerman, Bruce",R
N00035544,"Sasse, Ben",R
N00035565,"Williamson, Marianne",D
N00035575,"Cohn, Alan",D
N00035612,"Overby, Paula",D
N00035616,"Zinke, Ryan",R
N00035641,"Greenwald, Peter",R
N00035670,"Mace, Nancy",R
N00035673,"Stovall, Dwayne",R
N00035691,"Palmer, Gary",R
N00035774,"Sullivan, Dan",R
N00035791,"Jones, Lateresa",R
N00035792,"Hill, French",R
N00035820,"Knight, Steve",R
N00035825,"Lieu, Ted",D
N00035834,"Wilske, Larry",R
N00035864,"Owens, Michael",D
N00035880,"Davidson, Allen",R
N00035887,"Young, Geoffrey",R
N00035927,"Rice, Kathleen",D
N00035934,"Katko, John",R
N00035944,"Guyette, Matthew",D
N00035948,"Davenport, Keith",D
N00035961,"Stern, Everett",R
N00035972,"Ratcliffe, John",R
N00035976,"Kelsey, Bill",L
N00035990,"Loewe, Mark",L
N00036005,"Reeves, Jason",L
N00036018,"Beyer, Don",D
N00036028,"Wilson, Dave",D
N00036034,"Ojeda, Richard",D
N00036055,"Farr, Joan",I
N00036069,"Butcher, Larry",R
N00036093,"Casson, Thomas",R
N00036097,"Gallego, Ruben",D
N00036107,"Torres, Norma",D
N00036109,"Girard, Yvonne",R
N00036124,"Pollchik, Howard",D
N00036135,"Graves, Garret",R
N00036149,"Dingell, Debbie",D
N00036154,"Norcross, Don",D
N00036158,"Coleman, Bonnie Watson",D
N00036180,"Connolly, Matt",R
N00036257,"Childs, Vivian",R
N00036272,"Ferguson, Dana",D
N00036275,"Moolenaar, John",R
N00036301,"Wright, Paul",R
N00036322,"Gustafson, Claire",R
N00036336,"Bakari, Kamau",3
N00036351,"Tenney, Claudia",R
N00036373,"Cleveland, Hosea",D
N00036382,"Hartman, Zachary",R
N00036403,"Newhouse, Dan",R
N00036409,"Grothman, Glenn S",R
N00036411,"Williams, Elaine Whigham",D
N00036422,"Reeves, Ernest",D
N00036434,"Emerson, Tom Jr",R
N00036444,"Fox, Richard",R
N00036457,"Jones, Jeff",R
N00036478,"Moore, Sidney",D
N00036480,"Pivnick, Lawrence",D
N00036482,"Franklin, Robert",R
N00036491,"Mills, John",R
N00036511,"Joya, Analilia",D
N00036527,"Ellison, Allen",D
N00036564,"Schaeffer, Kenneth",3
N00036601,"Carey, Tom",R
N00036628,"Griffin, Calvin",I
N00036633,"Abraham, Ralph",R
N00036637,"Mayock, Frederick",I
N00036659,"Keller, Craig",R
N00036660,"Basler, Doug",R
N00036687,"Munro, Patrick",R
N00036691,"Walker, Clayton",I
N00036693,"Wilde, Rex",D
N00036695,"Miller, Bryan",R
N00036699,"Wright, Sam",D
N00036717,"Smith, Scott",I
N00036728,"Rab, Raji",D
N00036744,"Baker, Ed",I
N00036774,"Schroeder, Hank",I
N00036789,"Suitonu-Chapman, Meleagi",D
N00036798,"Holder, Bryan",L
N00036826,"Duncan, Vince",I
N00036839,"Dale, Lawrence",D
N00036844,"Stewart, Rick",L
N00036857,"Lawrence, John",3
N00036859,"Johnson, Sam",3
N00036862,"Raymond, Robert",I
N00036864,"Kent, Gaylon",L
N00036866,"Williams, Victor",R
N00036877,"Azumah, Joel",I
N00036891,"Fawell, Bill",R
N00036907,"Keith, Pam",D
N00036938,"Driskell, Gretchen",D
N00036940,"Law, Phil",R
N00036944,"Gottheimer, Josh",D
N00036982,"Giles, Dave",R
N00036999,"Brown, Anthony",D
N00037003,"Kelly, Trent",R
N00037015,"Carbajal, Salud",D
N00037019,"Barragan, Nanette",D
N00037031,"LaHood, Darin",R
N00037034,"Marshall, Roger",R
N00037036,"Raskin, Jamie",D
N00037039,"Craig, Angie",D
N00037049,"Bacon, Donald John",R
N00037161,"Masto, Catherine Cortez",D
N00037185,"Banks, Jim",R
N00037240,"Wilson, Willie",I
N00037241,"Bell, James Jerome",D
N00037247,"Lee, Susie",D
N00037260,"Correa, Lou",D
N00037268,"Lynn, Eric",D
N00037269,"Mast, Brian",R
N00037294,"Marsicano, Michael",R
N00037385,"Patterson, Stephen Michael",I
N00037410,"Spalding, Carla",R
N00037422,"Soto, Darren",D
N00037434,"Laws, Jerry",R
N00037442,"Dunn, Neal",R
N00037444,"Grayson, Dena",D
N00037515,"O'Halleran, Tom",D
N00037523,"Matory, Liz",R
N00037584,"Navarro, Omar",R
N00037585,"Stockham, Casper",R
N00037587,"Rabinowitz, Jeffrey G",D
N00037600,"Newton, William",R
N00037605,"Morrison, Terrance",D
N00037612,"Brown, Sakima",R
N00037615,"Gonzalez, Jenniffer",3
N00038201,"Fetterman, John",D
N00038260,"Comer, James",R
N00038285,"Arrington, Jodey",R
N00038289,"Wakely, Tom",3
N00038290,"McDowell, Jan",D
N00038339,"De La Fuente, Rocky",R
N00038397,"Hassan, Maggie",D
N00038400,"Lewis, Jason",R
N00038405,"Rogers, Bob",R
N00038414,"Rochester, Lisa Blunt",D
N00038415,"Holloway, Lashonda",D
N00038422,"Walker, Kimberly",D
N00038426,"Kinzler, Jay",R
N00038429,"Hollingsworth, Trey",R
N00038437,"Patterson, Bob",R
N00038446,"Williams, Steve",3
N00038450,"Evans, Dwight",D
N00038462,"Tokar, Jeff",R
N00038562,"Marter, James",R
N00038565,"Ross, Deborah",D
N00038575,"Webb, Mike",R
N00038585,"Mathis, Nathan",D
N00038601,"Panetta, Jimmy",D
N00038615,"Hidalgo, Juan",R
N00038636,"Bell, Doug",I
N00038659,"Baugh, Scott",R
N00038665,"Jones, Art",R
N00038742,"Suozzi, Tom",D
N00038752,"Phillips, George",R
N00038759,"Meer, Edward",R
N00038767,"Davidson, Warren",R
N00038771,"Taylor, James",R
N00038779,"Fitzpatrick, Brian",R
N00038781,"Smucker, Lloyd",R
N00038788,"Hyman, Mal",D
N00038800,"Espinoza, Maria",R
N00038809,"Gonzalez, Vicente",D
N00038813,"Westley, Tim",R
N00038816,"Pate, Ava",R
N00038834,"Schafranek, Robert",R
N00038840,"Gonzalez, Rey",R
N00038858,"Jayapal, Pramila",D
N00038996,"McDowell, Alyssa Dara",I
N00039029,"Lamb, Thomas",I
N00039035,"Gilbert, Frank",L
N00039040,"Pierce, Douglas",D
N00039063,"Homquist, Larry",R
N00039080,"Wright, Kenneth",R
N00039087,"Quinn, Christine",R
N00039090,"Ferguson, Drew",R
N00039101,"Drake, Ron",D
N00039106,"Johnson, Mike",R
N00039112,"Eze, Nnabu",R
N00039119,"Petrus, Adrian",D
N00039122,"Trone, David",D
N00039129,"Rechtzigel, Gene",R
N00039133,"Shepherd, Rick",D
N00039148,"Morckel, Richard",R
N00039153,"Gray, Phil",L
N00039257,"Busch, Mark",R
N00039271,"Payne, Tom",D
N00039290,"Edwards, Derrick",D
N00039293,"Biggs, Andy",R
N00039308,"Hughes, Dave",R
N00039323,"Wegman, Gary",D
N00039327,"McEachin, Donald",D
N00039330,"Gallagher, Mike",R
N00039331,"Smith, Darin",R
N00039373,"Bush, Cori",D
N00039376,"Tamayo, Amy",D
N00039380,"Donnelly, Tim",R
N00039420,"Romero, Paul Jr",R
N00039471,"Walls-Windhauser, Angela",R
N00039503,"Gaetz, Matt",R
N00039523,"McCracken, Tricia Carpenter",D
N00039526,"Nikolova, Staniela",D
N00039530,"Hohe, Steve",L
N00039533,"Bergman, John",R
N00039551,"Budd, Ted",R
N00039555,"Schiffman, Steve",D
N00039559,"Keady, Jim",D
N00039589,"Fairbanks, Chadwick III",R
N00039605,"Nelson, Tom",D
N00039655,"Underwood, Erik",D
N00039660,"Writz, Ray J",3
N00039777,"Rutherford, John",R
N00039845,"Pearson, Erika Stotts",D
N00039865,"Acker, Brandon",D
N00039953,"Higgins, Clay",R
N00039974,"McKinley, Doug",D
N00039989,"Hibler, Bill",D
N00039991,"Heikes, Gerald",I
N00039997,"Fuentes, Talia",D
N00040021,"Gioia, Lisa Lane",L
N00040027,"Sindt, Susan",3
N00040068,"Boyce, Richard",I
N00040107,"Blatchford, Edgar",D
N00040133,"Murphy, Stephanie",D
